stock_code,stock_name,market,report_type,report_year,first_appointment_date,first_change_date,second_change_date,third_change_date,actual_disclosure_date,stat_date
600211,西藏药业,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
600719,大连热电,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
600816,建元信托,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
600844,金煤科技,沪市,半年报（中报）,2026,2026-08-14,2026-07-18,,,,2026-07-18
600941,中国移动,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
601068,中铝国际,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603025,大豪科技,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603153,上海建科,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603256,宏和科技,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603402,陕西旅游,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603444,吉比特,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603585,苏利股份,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603615,茶花股份,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
603920,世运电路,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
605136,丽人丽妆,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
605166,聚合顺,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
688156,路德科技,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
688301,奕瑞科技,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
688315,诺禾致源,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
688432,有研硅,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
688459,哈铁科技,沪市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
000001,平安银行,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000407,胜利股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000595,新能股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000635,英力特,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000698,ST沈化,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000791,甘肃能源,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000802,北京文化,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
000848,承德露露,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
001205,盛航股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
001267,汇绿生态,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002028,思源电气,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002049,紫光国微,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002051,中工国际,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002092,中泰化学,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002154,报喜鸟,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002173,创新医疗,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002217,ST合力泰,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002225,濮耐股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002236,大华股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002301,齐心集团,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002309,中利集团,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002313,日海智能,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002396,星网锐捷,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002421,达实智能,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002521,齐峰新材,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002634,*ST棒杰,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002655,共达电声,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002697,红旗连锁,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002706,良信股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002742,冀衡医药,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002772,众兴菌业,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002796,世嘉科技,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002850,科达利,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002863,今飞凯达,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002866,传艺科技,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
002960,青鸟智控,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
003021,兆威机电,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300017,网宿科技,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300030,阳普医疗,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300105,龙源技术,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300187,永清环保,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300198,*ST纳川,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300213,佳讯飞鸿,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300221,银禧科技,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300234,开尔新材,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300295,*ST三六五,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300342,天银机电,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
300343,联创股份,深市,半年报（中报）,2026,2026-08-15,,,,,2026-08-15
